time,value
2024-09-02T14:56:58.061173651Z,{"lat":-37.86752708327089,"lon":145.214899593746}
2024-09-02T14:56:59.074329207Z,{"lat":-37.867511817496435,"lon":145.21489839084157}
2024-09-02T14:57:00.075118925Z,{"lat":-37.86750570322571,"lon":145.21490324722706}
2024-09-02T14:57:01.102556148Z,{"lat":-37.867507975309714,"lon":145.21497695282656}
2024-09-02T14:57:02.126866406Z,{"lat":-37.867502625756146,"lon":145.21498828898186}
2024-09-02T14:57:03.103118159Z,{"lat":-37.86749319661683,"lon":145.21488102618432}
2024-09-02T14:57:04.113260164Z,{"lat":-37.867490928585916,"lon":145.21484732979584}
2024-09-02T14:57:05.13996565Z,{"lat":-37.86748088186638,"lon":145.21484444791906}
2024-09-02T14:57:06.131891333Z,{"lat":-37.867464183216825,"lon":145.21484205305978}
2024-09-02T14:57:07.179535686Z,{"lat":-37.86744996292486,"lon":145.21483721528813}
2024-09-02T14:57:08.151182039Z,{"lat":-37.86744596398059,"lon":145.21483669457078}
2024-09-02T14:57:09.176127693Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:10.186836698Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:11.258578217Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:12.199007419Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:13.256907518Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:14.253686242Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:15.293876518Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:16.245635172Z,{"lat":-37.86760451021913,"lon":145.21486325819714}
2024-09-02T14:57:17.269621339Z,{"lat":-37.867610140979934,"lon":145.21486337134147}
2024-09-02T14:57:18.288654563Z,{"lat":-37.86761584858077,"lon":145.21486381192818}
2024-09-02T14:57:19.272650822Z,{"lat":-37.86761718421774,"lon":145.21486179402058}
2024-09-02T14:57:20.372801917Z,{"lat":-37.86761294091331,"lon":145.21485888345248}
2024-09-02T14:57:21.359735646Z,{"lat":-37.86760974396797,"lon":145.2148568812984}
2024-09-02T14:57:22.334696734Z,{"lat":-37.86763989958862,"lon":145.21486217052734}
2024-09-02T14:57:23.33556928Z,{"lat":-37.867620374220465,"lon":145.21496431641165}
