Timestamp,X,Y,Z
20240728014424,0.07,0.94,0.21
20240728014425,0.07,0.93,0.22
20240728014426,0.07,0.93,0.22
20240728014427,0.07,0.93,0.22
20240728014428,0.07,0.94,0.20
20240728014429,0.07,0.94,0.20
20240728014430,0.07,0.94,0.19
20240728014431,0.05,0.94,0.18
20240728014432,0.05,0.94,0.18
20240728014433,0.05,0.95,0.17
20240728014434,0.05,0.94,0.18
20240728014435,0.05,0.94,0.18
20240728014436,0.05,0.94,0.18
20240728014437,0.05,0.94,0.18
20240728014438,0.05,0.94,0.18
20240728014439,0.05,0.94,0.17
20240728014440,0.03,0.92,0.30
20240728014441,0.03,0.91,0.31
20240728014442,0.04,0.93,0.27
20240728014443,0.04,0.93,0.24
20240728014444,0.04,0.93,0.25
20240728014445,0.05,0.96,0.17
20240728014446,0.05,0.95,0.18
20240728014447,0.05,0.94,0.20
20240728014448,0.05,0.94,0.20
20240728014449,0.05,0.94,0.22
20240728014450,0.04,0.94,0.22
20240728014451,0.05,0.93,0.23
20240728014452,0.05,0.94,0.19
20240728014453,0.05,0.94,0.19
20240728014454,0.05,0.94,0.19
20240728014455,0.05,0.94,0.19
20240728014456,0.05,0.94,0.19
20240728014457,0.05,0.94,0.19
20240728014458,0.05,0.94,0.19
20240728014459,0.05,0.94,0.19
20240728014500,0.05,0.94,0.19
20240728014501,0.05,0.94,0.19
20240728014502,0.05,0.94,0.19
20240728014503,0.05,0.94,0.19
20240728014504,0.05,0.94,0.19
20240728014505,0.05,0.94,0.19
20240728014506,0.05,0.94,0.18
20240728014507,0.05,0.94,0.18
20240728014508,0.05,0.94,0.18
20240728014509,0.05,0.94,0.18
20240728014510,0.05,0.94,0.18
20240728014511,0.05,0.94,0.18
20240728014512,0.05,0.94,0.18
20240728014513,0.05,0.94,0.18
20240728014514,0.04,0.93,0.24
20240728014515,0.04,0.94,0.21
20240728014516,0.05,0.94,0.21
20240728014517,0.05,0.95,0.16
20240728014518,0.05,0.94,0.18
20240728014519,0.05,0.94,0.18
20240728014520,0.05,0.94,0.18
20240728014521,0.05,0.94,0.20
20240728014522,0.05,0.94,0.21
20240728014523,0.05,0.94,0.20
20240728014524,0.05,0.94,0.18
20240728014525,0.05,0.94,0.18
20240728014526,0.05,0.94,0.18
20240728014527,0.05,0.94,0.18
20240728014528,0.05,0.94,0.18
20240728014529,0.05,0.94,0.18
20240728014530,0.05,0.94,0.18
20240728014531,0.05,0.94,0.18
20240728014532,0.05,0.94,0.18
20240728014533,0.05,0.95,0.18
20240728014534,0.05,0.94,0.18
20240728014535,0.04,0.95,0.17
20240728014536,0.05,0.94,0.18
20240728014537,0.05,0.94,0.18
20240728014538,0.05,0.94,0.18
20240728014539,0.05,0.94,0.18
20240728014540,0.05,0.94,0.18
20240728014541,0.05,0.94,0.18
20240728014542,0.05,0.94,0.18
20240728014543,0.05,0.94,0.18
20240728014544,0.05,0.94,0.18
20240728014545,0.05,0.94,0.18
20240728014546,0.05,0.94,0.18
20240728014547,0.05,0.95,0.17
20240728014548,0.05,0.94,0.18
20240728014549,0.05,0.94,0.18
20240728014550,0.05,0.94,0.18
20240728014551,0.05,0.94,0.18
20240728014552,0.05,0.94,0.18
20240728014553,0.05,0.94,0.18
20240728014554,0.05,0.94,0.18
20240728014555,0.05,0.94,0.18
20240728014556,0.05,0.94,0.18
20240728014557,0.05,0.94,0.18
20240728014558,0.05,0.94,0.18
20240728014559,0.05,0.94,0.17
20240728014600,0.05,0.95,0.18
20240728014601,0.05,0.94,0.19
20240728014602,0.05,0.94,0.22
20240728014603,0.05,0.93,0.26
20240728014604,0.04,0.91,0.32
20240728014605,0.04,0.92,0.30
20240728014606,0.05,0.93,0.26
20240728014607,0.04,0.91,0.31
20240728014608,0.05,0.92,0.27
20240728014609,0.05,0.93,0.27
20240728014610,0.04,0.91,0.31
20240728014611,0.04,0.91,0.33
20240728014612,0.04,0.91,0.31
20240728014613,0.04,0.91,0.32
20240728014614,0.05,0.93,0.25
20240728014615,0.16,0.90,0.21
20240728014616,0.05,0.93,0.22
20240728014617,0.04,0.92,0.27
20240728014618,0.04,0.93,0.27
20240728014619,0.05,0.94,0.19
20240728014620,0.04,0.93,0.25
20240728014621,0.05,0.95,0.19
20240728014622,0.04,0.94,0.22
20240728014623,0.04,0.93,0.24
20240728014624,0.04,0.93,0.24
20240728014625,0.05,0.94,0.19
20240728014626,0.05,0.94,0.19
20240728014627,0.05,0.94,0.21
20240728014628,0.04,0.93,0.23
20240728014629,0.05,0.95,0.19
20240728014630,0.05,0.94,0.19
20240728014631,0.05,0.94,0.22
20240728014632,0.03,0.93,0.20
20240728014633,0.04,0.94,0.22
20240728014634,0.04,0.93,0.23
20240728014635,0.05,0.95,0.18
20240728014636,0.05,0.95,0.18
20240728014637,0.04,0.93,0.24
20240728014638,0.04,0.94,0.23
20240728014639,0.04,0.93,0.24
20240728014640,0.04,0.93,0.25
20240728014641,0.04,0.93,0.24
20240728014642,0.04,0.93,0.25
20240728014643,0.04,0.93,0.24
